ID,ticker,Year,Quarter,Date,negative,positive,uncertainty,litigious,constraining,strong_modal_positive,strong_modal_negative,strong_modal_uncertainty,strong_modal_litigious,strong_modal_constraining,weak_modal_positive,weak_modal_negative,weak_modal_uncertainty,weak_modal_litigious,weak_modal_constraining,strong_modal_raw_count,weak_modal_raw_count,NSS,WSS,Overall_Sentiment_Score,binary_sentiment,start_stock_price,end_stock_price,price_gap,Dividend_Yield,ROE
2005_Q4,SAP,2005,4,2006-01-27 11:52:51,97,201,124,19,8,0,0,0,0,0,0,0,0,0,0,127,61,0.3489932874194856,17.333333333333332,-3.0000000000000027,positive,50.400001525878906,50.22999954223633,-0.1700019836425781,,
2006_Q2,PG,2006,2,2006-01-28 08:34:44,110,284,61,7,10,0,0,0,0,0,0,0,0,0,0,56,35,0.4416243643613595,29.0,120.3,positive,59.13999938964844,59.70000076293945,0.5600013732910156,1.89%,0.334
2005_Q4,TSM,2005,4,2006-01-28 08:38:13,98,101,100,6,6,0,0,0,0,0,0,0,0,0,0,51,59,0.0150753768086664,0.5,-69.1,neutral,10.471912384033203,9.901947021484377,-0.5699653625488281,,
2005_Q4,NVDA,2005,4,2006-01-30 12:56:26,64,151,81,5,8,0,0,0,0,0,0,0,0,0,0,71,45,0.4046511609085992,14.5,21.3,positive,0.3810830116271972,0.3658330142498016,-0.0152499973773956,,0.207
2005_Q4,T,2005,4,2006-01-30 17:29:00,82,172,56,13,6,0,0,0,0,0,0,0,1,0,0,60,28,0.3543307072664145,15.0,37.7,positive,19.67522621154785,20.75528717041016,1.080060958862305,4.82%,0.193
2005_Q4,VZ,2005,4,2006-01-30 17:55:17,68,189,40,12,5,0,0,0,0,0,0,0,0,0,0,49,27,0.4708171187905948,20.166666666666668,80.0,positive,28.688396453857425,29.839529037475582,1.151132583618164,5.12%,0.121
2005_Q4,GOOG,2005,4,2006-02-01 05:02:07,63,209,66,7,6,0,0,0,0,0,0,0,0,0,0,38,37,0.5367647039089533,24.33333333333333,95.2,positive,10.006991386413574,8.550949096679688,-1.4560422897338867,,0.401
2006_Q1,SBUX,2006,1,2006-02-02 19:03:49,54,225,73,0,8,0,0,0,0,0,0,0,0,0,0,67,34,0.6129032236096659,28.5,113.7,positive,17.200000762939453,17.59000015258789,0.3899993896484375,,0.216
2005_Q4,AMZN,2005,4,2006-02-03 13:17:49,65,110,72,13,2,0,0,0,0,0,0,1,0,0,0,37,29,0.2571428556734694,7.416666666666667,-8.8,positive,1.9164999723434448,1.9574999809265137,0.0410000085830688,,
2005_Q4,CMCSA,2005,4,2006-02-03 18:26:14,65,102,77,1,3,0,0,0,0,0,0,0,0,0,0,54,37,0.2215568849008569,6.166666666666667,-18.0,positive,9.026666641235352,8.83666706085205,-0.1899995803833007,,0.017
2005_Q4,CVS,2005,4,2006-02-06 15:53:37,82,133,70,27,11,0,0,0,0,0,0,0,0,0,0,90,28,0.2372093012222823,8.5,-23.8,positive,28.690000534057617,28.600000381469727,-0.0900001525878906,.558%,0.151
2006_Q2,CSCO,2006,2,2006-02-09 13:22:16,125,174,167,13,23,0,0,0,0,0,0,0,0,0,0,136,40,0.163879598114115,8.166666666666666,-83.7,positive,19.549999237060547,19.670000076293945,0.1200008392333984,,0.235
2006_Q1,DIS,2006,1,2006-02-09 13:25:48,83,197,86,7,11,0,0,0,0,0,0,0,0,0,0,84,37,0.4071428556887755,19.0,41.5,positive,26.35927963256836,27.089290618896484,0.730010986328125,1.07%,0.089
2006_Q2,EL,2006,2,2006-02-09 13:31:29,126,202,105,5,5,0,0,0,0,0,0,0,0,0,0,72,24,0.231707316366746,12.666666666666666,1.6999999999999993,positive,18.725000381469727,19.5,0.7749996185302734,1.10%,0.209
2006_Q4,NVDA,2006,4,2006-02-18 15:26:00,69,158,79,6,15,0,0,0,0,0,0,0,0,0,0,69,44,0.392070482854315,14.833333333333334,20.8,positive,0.3871670067310333,0.4096669852733612,0.0224999785423278,,0.207
2006_Q2,COST,2006,2,2006-03-03 00:14:04,90,180,119,14,7,0,0,0,0,0,0,0,0,0,0,104,62,0.3333333320987654,15.0,-7.000000000000001,positive,53.52000045776367,55.0,1.479999542236328,.899%,0.125
2006_Q1,ADBE,2006,1,2006-03-23 12:38:02,71,159,75,1,7,0,0,0,0,0,0,0,0,0,0,50,25,0.3826086939886579,14.666666666666666,34.0,positive,36.33000183105469,35.9900016784668,-0.3400001525878906,,0.35
2006_Q1,AMD,2006,1,2006-04-13 00:37:34,86,137,109,2,13,0,0,0,0,0,0,0,0,0,0,75,51,0.2286995505439482,8.5,-31.1,positive,31.799999237060547,32.79999923706055,1.0,,0.05
2006_Q1,AMGN,2006,1,2006-04-19 10:37:37,113,99,84,22,14,0,0,0,0,0,0,0,0,0,0,54,38,-0.0660377355375578,-2.333333333333333,-88.6,neutral,68.30000305175781,65.98999786376953,-2.310005187988281,,0.172
2006_Q1,TXN,2006,1,2006-04-19 10:49:49,105,131,100,2,6,0,0,0,0,0,0,0,0,0,0,102,57,0.1101694910586038,4.333333333333333,-54.1,positive,34.45000076293945,34.38999938964844,-0.0600013732910156,.346%,0.185
2006_Q1,T,2006,1,2006-04-19 15:37:52,80,251,60,5,6,0,0,0,0,0,0,0,0,0,0,88,37,0.5166163126386214,28.5,114.2,positive,19.44864082336425,19.75830841064453,0.3096675872802734,5.07%,0.075
2006_Q1,IBM,2006,1,2006-04-19 16:18:07,76,170,55,3,2,0,0,0,0,0,0,0,0,0,0,27,27,0.3821138195849032,15.666666666666666,55.9,positive,78.26004028320312,78.79541015625,0.535369873046875,.972%,0.241
2006_Q1,EBAY,2006,1,2006-04-19 23:08:20,66,196,82,3,3,0,0,0,0,0,0,0,0,0,0,54,35,0.4961832042130412,21.666666666666668,71.7,positive,16.982322692871094,14.621212005615234,-2.36111068725586,,0.126
2006_Q1,INTC,2006,1,2006-04-20 01:23:44,109,96,120,6,10,0,0,0,0,0,0,0,0,0,0,86,41,-0.0634146338370017,-2.1666666666666665,-102.3,neutral,19.450000762939453,19.15999984741211,-0.2900009155273437,2.00%,0.227
2006_Q2,AAPL,2006,2,2006-04-20 11:01:29,93,117,95,8,8,0,0,0,0,0,0,0,0,0,0,39,57,0.1142857137414966,4.0,-45.0,positive,2.415357112884521,2.5407140254974365,0.125356912612915,,0.234
2006_Q1,GOOG,2006,1,2006-04-21 01:01:13,66,197,100,8,9,0,0,0,0,0,0,0,2,0,0,45,55,0.4980988574216773,21.83333333333333,58.0,positive,10.886693954467772,9.831897735595703,-1.0547962188720703,,0.237
2006_Q1,SAP,2006,1,2006-04-21 18:14:17,57,103,72,13,7,0,0,0,0,0,0,0,0,0,0,56,37,0.287499998203125,7.666666666666667,-14.900000000000002,positive,54.91999816894531,55.869998931884766,0.9500007629394532,,
2006_Q1,MCD,2006,1,2006-04-22 23:34:20,67,158,63,3,6,0,0,0,0,0,0,0,0,0,0,24,41,0.4044444426469136,15.166666666666666,46.1,positive,34.2599983215332,35.209999084472656,0.9500007629394532,1.94%,0.167
2006_Q1,AMZN,2006,1,2006-04-25 22:56:16,72,90,69,21,3,0,0,0,0,0,0,0,0,0,0,35,30,0.11111111042524,3.0,-38.5,positive,1.777500033378601,1.7345000505447388,-0.0429999828338623,,
2006_Q1,CMCSA,2006,1,2006-04-27 15:46:40,50,96,29,1,2,0,0,0,0,0,0,0,0,0,0,34,11,0.3150684909926816,7.666666666666667,22.1,positive,10.149999618530272,10.756667137145996,0.6066675186157227,,0.014
2006_Q1,TSM,2006,1,2006-04-29 10:32:38,97,68,115,3,8,0,0,0,0,0,0,0,0,0,0,52,58,-0.1757575746923783,-4.833333333333333,-108.2,negative,10.124136924743652,9.815003395080566,-0.3091335296630859,,
2006_Q1,NVDA,2006,1,2006-05-02 01:55:40,96,107,100,6,12,0,0,0,0,0,0,0,0,0,0,36,49,0.0541871918512946,1.8333333333333333,-60.1,neutral,0.5143330097198486,0.4451670050621032,-0.0691660046577453,,0.224
2006_Q1,VZ,2006,1,2006-05-02 17:49:07,80,142,60,3,5,0,0,0,0,0,0,0,0,0,0,32,39,0.2792792780212645,10.333333333333334,17.7,positive,29.35389518737793,28.34665298461914,-1.007242202758789,4.90%,0.121
2006_Q3,PG,2006,3,2006-05-03 18:08:59,119,258,81,7,5,0,0,0,0,0,0,0,0,0,0,74,55,0.3687002642740046,23.166666666666668,72.2,positive,56.220001220703125,56.040000915527344,-0.1800003051757812,2.13%,0.38
2006_Q2,SBUX,2006,2,2006-05-04 02:27:18,42,208,59,4,17,0,0,0,0,0,0,0,0,0,0,61,31,0.6639999973440001,27.666666666666668,110.7,positive,19.395000457763672,18.20499992370605,-1.1900005340576172,,0.214
2006_Q1,CVS,2006,1,2006-05-04 15:45:32,77,148,70,20,4,0,0,0,0,0,0,0,0,0,0,90,27,0.3155555541530864,11.833333333333334,3.3,positive,30.280000686645508,28.8700008392334,-1.4099998474121094,.522%,0.165
2006_Q3,EL,2006,3,2006-05-04 21:58:50,137,234,94,5,9,0,0,0,0,0,0,0,0,0,0,68,46,0.2614555249017371,16.166666666666668,24.8,positive,19.71999931335449,20.51499938964844,0.7950000762939453,1.08%,0.215
2006_Q3,CSCO,2006,3,2006-05-10 02:20:56,114,212,167,9,15,0,0,0,0,0,0,0,0,0,0,101,42,0.300613496010388,16.333333333333332,-21.9,positive,20.75,20.3700008392334,-0.3799991607666015,,0.242
2006_Q2,DIS,2006,2,2006-05-10 03:46:21,81,216,93,7,11,2,0,0,0,0,0,0,0,0,0,85,48,0.4545454530149985,23.0,57.7,positive,29.703514099121094,29.821895599365234,0.1183815002441406,.966%,0.089
2007_Q1,NVDA,2007,1,2006-05-12 01:08:57,63,175,88,7,15,0,0,0,0,0,0,0,0,0,0,66,40,0.4705882333168562,18.666666666666668,39.8,positive,0.4388329982757568,0.3986670076847076,-0.0401659905910491,,0.224
2006_Q3,COST,2006,3,2006-05-31 20:16:31,67,120,121,10,3,0,0,0,0,0,0,0,0,0,0,59,45,0.28342245837742,8.833333333333334,-30.3,positive,52.93000030517578,52.630001068115234,-0.2999992370605469,.982%,0.121
2006_Q2,ADBE,2006,2,2006-06-16 03:50:42,95,175,80,3,6,0,0,0,0,0,0,0,0,0,0,53,30,0.2962962951989026,13.333333333333334,21.9,positive,29.1200008392334,30.39999961853028,1.279998779296875,,0.293
2006_Q2,IBM,2006,2,2006-07-18 23:56:42,93,140,74,12,5,0,0,0,0,0,0,0,0,0,0,28,36,0.2017167373316878,7.833333333333333,-7.700000000000001,positive,70.9942626953125,74.0057373046875,3.011474609375,1.55%,0.265
2006_Q2,EBAY,2006,2,2006-07-20 00:38:03,97,224,103,4,4,0,0,0,0,0,0,0,0,0,0,78,53,0.39563862805097,21.166666666666668,50.6,positive,10.378787994384766,9.675926208496094,-0.7028617858886719,,0.127
2006_Q3,AAPL,2006,3,2006-07-20 00:49:46,73,110,76,4,6,0,0,0,0,0,0,0,0,0,0,30,48,0.2021857912448864,6.166666666666667,-16.8,positive,2.1607139110565186,2.434286117553711,0.2735722064971924,,0.228
2006_Q2,INTC,2006,2,2006-07-20 04:05:41,102,107,104,3,6,0,0,0,0,0,1,0,0,0,0,55,47,0.0239234448616103,0.9166666666666666,-67.2,neutral,17.100000381469727,17.59000015258789,0.489999771118164,2.22%,0.208
2006_Q2,SAP,2006,2,2006-07-20 19:01:33,83,142,83,23,13,0,0,0,0,0,0,0,0,0,0,107,46,0.2622222210567901,9.833333333333334,-26.500000000000004,positive,44.7599983215332,45.470001220703125,0.7100028991699219,,
2006_Q2,GOOG,2006,2,2006-07-21 00:12:07,77,200,89,2,9,0,0,0,0,0,0,0,0,0,0,44,52,0.4440433196965945,20.5,59.0,positive,9.716330528259276,9.34970474243164,-0.3666257858276367,,0.263
2006_Q2,AMD,2006,2,2006-07-21 04:08:07,95,134,96,1,12,0,0,0,0,0,0,0,0,0,0,82,49,0.1703056761122023,6.5,-36.8,positive,18.26000022888184,20.450000762939453,2.190000534057617,,0.118
2006_Q2,AMGN,2006,2,2006-07-21 05:56:16,130,125,87,22,8,0,0,0,0,0,0,0,0,0,0,77,45,-0.0196078430603614,-0.8333333333333334,-83.4,neutral,66.1500015258789,70.91999816894531,4.769996643066406,,0.181
2006_Q2,TXN,2006,2,2006-07-25 03:43:27,100,118,129,15,8,0,0,0,0,0,0,0,0,0,0,79,52,0.0825688069606935,3.0,-79.0,neutral,28.950000762939453,29.979999542236328,1.029998779296875,.403%,0.198
2006_Q2,T,2006,2,2006-07-25 18:49:19,81,178,69,2,9,0,0,0,0,0,0,0,0,0,0,47,35,0.3745173730713615,16.166666666666668,44.1,positive,21.86555862426757,23.25528717041016,1.389728546142578,4.43%,0.09
2006_Q2,MCD,2006,2,2006-07-25 20:11:30,64,163,57,4,8,0,0,0,0,0,0,0,0,0,0,65,39,0.4361233460963729,16.5,47.6,positive,34.7599983215332,35.529998779296875,0.7700004577636719,1.89%,0.157
2006_Q2,AMZN,2006,2,2006-07-25 23:41:40,67,97,58,15,4,0,0,0,0,0,0,0,0,0,0,52,24,0.1829268281528852,5.0,-21.3,positive,1.6794999837875366,1.3389999866485596,-0.340499997138977,,-4.117
2006_Q2,CMCSA,2006,2,2006-07-27 16:18:40,48,90,51,0,4,0,0,0,0,0,0,0,0,0,0,24,28,0.3043478238815375,7.0,6.899999999999999,positive,11.34000015258789,11.453332901000977,0.1133327484130859,,0.016
2006_Q2,TSM,2006,2,2006-07-27 22:23:38,147,105,82,2,6,0,0,0,0,0,0,0,0,0,0,63,40,-0.166666666005291,-7.0,-103.6,negative,8.328357696533203,8.407959938049316,0.0796022415161132,,
2006_Q2,NVDA,2006,2,2006-07-28 06:33:34,49,147,67,5,7,0,0,0,0,0,0,0,0,0,0,32,26,0.4999999974489796,16.333333333333332,49.5,positive,0.3778330087661743,0.4026669859886169,0.0248339772224426,,0.242
2006_Q2,VZ,2006,2,2006-08-01 17:10:57,74,185,55,3,4,0,0,0,0,0,0,0,0,0,0,60,30,0.4285714269167126,18.5,65.0,positive,29.920467376708984,30.505027770996094,0.5845603942871094,4.79%,0.092
2006_Q4,PG,2006,4,2006-08-02 19:27:51,94,281,70,3,9,0,0,0,0,0,0,0,0,0,0,68,47,0.4986666653368889,31.166666666666668,127.7,positive,58.290000915527344,60.43999862670898,2.1499977111816406,2.21%,0.237
2006_Q3,SBUX,2006,3,2006-08-03 03:16:36,62,182,82,5,13,0,0,0,0,0,0,0,0,0,0,52,29,0.4918032766729374,20.0,56.7,positive,15.31999969482422,15.31999969482422,0.0,,0.239
2006_Q2,CVS,2006,2,2006-08-03 17:03:02,58,149,58,12,3,0,0,0,0,0,0,0,0,0,0,84,24,0.4396135244463114,15.166666666666666,35.3,positive,33.900001525878906,34.40999984741211,0.5099983215332031,.474%,0.163
2006_Q4,CSCO,2006,4,2006-08-09 00:19:18,121,218,144,5,12,0,0,0,0,0,0,0,0,0,0,81,64,0.2861356923712811,16.166666666666668,-6.1,positive,19.780000686645508,21.239999771118164,1.4599990844726562,,0.244
2006_Q3,DIS,2006,3,2006-08-09 14:49:12,72,224,71,8,8,0,0,0,0,0,0,0,0,0,0,69,24,0.5135135117786706,25.33333333333333,92.3,positive,28.4407958984375,29.23986053466797,0.7990646362304688,.909%,0.091
2007_Q2,NVDA,2007,2,2006-08-11 03:58:47,61,134,87,8,15,0,0,0,0,0,0,0,0,0,0,50,52,0.3743589724391847,12.166666666666666,2.8,positive,0.3899999856948852,0.442667007446289,0.0526670217514038,,0.242
2006_Q4,EL,2006,4,2006-08-16 17:39:07,144,260,120,9,16,0,0,0,0,0,1,0,0,0,0,98,33,0.2871287121605725,19.416666666666668,20.6,positive,18.375,18.225000381469727,-0.1499996185302734,1.09%,0.199
2006_Q3,GS,2006,3,2006-09-12 21:07:12,61,115,70,1,7,0,0,0,0,0,0,0,0,0,0,23,33,0.3068181800748967,9.0,7.1,positive,158.2899932861328,168.69000244140625,10.400009155273438,.942%,0.307
2006_Q3,ADBE,2006,3,2006-09-15 03:21:03,77,183,72,1,11,0,0,0,0,0,0,0,0,0,0,89,28,0.4076923061242604,17.666666666666668,43.4,positive,37.0,38.33000183105469,1.3300018310546875,,0.19
2006_Q4,COST,2006,4,2006-10-13 00:12:56,129,163,138,10,11,0,0,0,0,0,0,0,0,0,0,41,59,0.116438355765622,5.666666666666667,-59.6,positive,53.20000076293945,53.4900016784668,0.2900009155273437,1.05%,0.122
2006_Q3,IBM,2006,3,2006-10-17 23:02:59,52,167,40,7,4,0,0,0,0,0,0,0,0,0,0,23,21,0.52511415285336,19.166666666666668,82.8,positive,83.1261978149414,87.4760971069336,4.349899291992188,1.30%,0.265
2006_Q3,INTC,2006,3,2006-10-18 03:50:12,85,141,107,5,5,0,0,0,0,0,0,0,0,0,0,64,47,0.2477876095230636,9.333333333333334,-20.0,positive,21.11000061035156,21.34000015258789,0.2299995422363281,1.87%,0.181
2006_Q3,ASML,2006,3,2006-10-18 19:46:06,101,91,90,5,5,0,0,0,0,0,0,0,0,0,0,69,45,-0.0520833330620659,-1.6666666666666667,-78.3,neutral,25.346250534057617,25.69499969482422,0.3487491607666015,,
2006_Q3,EBAY,2006,3,2006-10-18 23:27:44,79,205,90,7,7,0,0,0,0,0,0,0,0,0,0,47,47,0.4436619702687959,21.0,59.9,positive,11.990740776062012,13.522727012634276,1.5319862365722656,,0.111
2006_Q3,AMD,2006,3,2006-10-19 01:01:44,112,148,112,9,12,0,0,0,0,0,0,0,0,0,0,76,54,0.1384615379289941,6.0,-51.1,positive,21.01000022888184,20.729999542236328,-0.2800006866455078,,0.125
2006_Q4,AAPL,2006,4,2006-10-19 04:57:25,72,110,61,4,1,0,0,0,0,0,0,0,0,0,0,42,34,0.2087912076440043,6.333333333333333,-6.800000000000001,positive,2.821070909500122,2.8271429538726807,0.0060720443725585,,0.228
2006_Q3,KO,2006,3,2006-10-19 15:49:02,90,192,45,5,7,0,0,0,0,0,0,1,0,0,0,57,19,0.3617021263769428,16.916666666666668,60.2,positive,22.45499992370605,23.31999969482422,0.8649997711181641,2.65%,0.302
2006_Q3,SAP,2006,3,2006-10-19 19:21:05,71,142,78,18,6,0,0,0,0,0,0,0,0,0,0,54,38,0.3333333317683881,11.833333333333334,5.399999999999999,positive,50.060001373291016,49.209999084472656,-0.8500022888183594,,
2006_Q3,MCD,2006,3,2006-10-19 22:22:48,47,199,57,1,10,0,0,0,0,0,0,0,0,0,0,64,35,0.6178861763500562,25.33333333333333,101.7,positive,40.77000045776367,41.86000061035156,1.0900001525878906,1.60%,0.166
2006_Q3,GOOG,2006,3,2006-10-19 23:15:49,82,187,80,9,3,0,0,0,0,0,0,0,0,0,0,48,49,0.3903345710396484,17.5,44.5,positive,10.611724853515623,11.643856048583984,1.0321311950683594,,0.254
2006_Q3,MRK,2006,3,2006-10-20 19:48:14,110,91,83,40,12,0,0,0,0,0,0,0,0,0,0,38,37,-0.0945273627137942,-3.1666666666666665,-97.8,neutral,43.549617767333984,43.32061004638672,-0.2290077209472656,3.35%,0.304
2006_Q3,F,2006,3,2006-10-23 19:39:27,255,206,88,5,21,0,0,0,0,0,0,0,0,0,0,111,41,-0.1062906722206276,-8.166666666666666,-132.3,negative,7.900000095367432,8.380000114440918,0.4800000190734863,,-0.116
2006_Q3,T,2006,3,2006-10-23 19:41:26,85,169,55,6,9,0,0,0,0,0,0,0,0,0,0,78,29,0.3307086601153202,14.0,30.5,positive,26.21601104736328,25.46827888488769,-0.7477321624755859,3.88%,0.098
2006_Q3,TXN,2006,3,2006-10-24 03:00:04,159,125,139,6,8,0,0,0,0,0,0,1,0,0,0,88,75,-0.1197183094376115,-5.75,-135.6,negative,30.520000457763672,29.739999771118164,-0.7800006866455078,.530%,0.214
2006_Q3,AMGN,2006,3,2006-10-24 04:03:06,132,131,96,37,10,0,0,0,0,0,0,0,0,0,0,97,39,-0.0038022813543639,-0.1666666666666666,-95.8,neutral,74.94000244140625,75.11000061035156,0.1699981689453125,,0.136
2006_Q3,AMZN,2006,3,2006-10-24 23:31:18,79,77,60,7,5,0,0,0,0,0,0,0,0,0,0,44,22,-0.01282051273833,-0.3333333333333333,-49.0,neutral,1.68149995803833,1.9105000495910645,0.2290000915527343,,0.252
2007_Q1,EL,2007,1,2006-10-25 17:16:16,93,142,80,4,3,0,0,0,0,0,0,0,0,0,0,67,38,0.208510637410593,8.166666666666666,-11.7,positive,20.905000686645508,19.975000381469727,-0.9300003051757812,.990%,0.189
2006_Q3,TSM,2006,3,2006-10-26 15:48:17,86,82,80,1,11,0,0,0,0,0,0,0,0,0,0,55,36,-0.0238095236678004,-0.6666666666666666,-64.6,neutral,9.93034839630127,9.582090377807615,-0.3482580184936523,,
2006_Q3,CMCSA,2006,3,2006-10-26 17:16:42,65,128,60,1,9,0,0,0,0,0,1,0,0,0,0,58,36,0.3264248687750007,10.583333333333334,12.8,positive,13.333333015441896,13.616666793823242,0.2833337783813476,,0.017
2006_Q3,VZ,2006,3,2006-10-30 18:43:38,50,158,61,6,3,0,0,0,0,0,0,0,1,0,0,47,35,0.5192307667344674,18.0,60.1,positive,33.859500885009766,32.00689697265625,-1.852603912353516,4.38%,0.077
2007_Q1,PG,2007,1,2006-10-31 19:22:25,74,268,68,3,6,0,0,0,0,0,0,0,0,0,0,62,40,0.5672514603296741,32.333333333333336,139.1,positive,63.38999938964844,63.25,-0.1399993896484375,1.96%,0.187
2006_Q3,CVS,2006,3,2006-11-02 14:43:55,17,76,25,4,1,0,0,0,0,0,0,1,0,0,0,30,8,0.6344085953289399,9.75,37.2,positive,28.86000061035156,29.420000076293945,0.5599994659423828,.494%,0.164
2007_Q1,CSCO,2007,1,2006-11-09 02:51:09,94,158,152,5,11,0,0,0,0,0,0,0,0,0,0,102,58,0.2539682529604434,10.666666666666666,-46.2,positive,26.709999084472656,26.90999984741211,0.2000007629394531,,0.237
2007_Q3,NVDA,2007,3,2006-11-10 02:09:16,81,182,84,14,15,0,0,0,0,0,0,0,0,0,0,60,41,0.3840304167907589,16.833333333333332,28.4,positive,0.5740000009536743,0.6118329763412476,0.0378329753875732,,0.234
2006_Q4,DIS,2006,4,2006-11-10 02:55:45,73,186,94,7,9,0,0,0,0,0,0,0,0,0,0,84,42,0.4362934346089057,18.83333333333333,37.0,positive,31.96260070800781,32.54463577270508,0.5820350646972656,.858%,0.103
2006_Q4,SBUX,2006,4,2006-11-17 01:18:28,50,183,75,8,19,0,0,0,0,0,0,0,0,0,0,57,27,0.5708154481939252,22.166666666666668,67.9,positive,18.709999084472656,17.645000457763672,-1.0649986267089844,,0.253
2006_Q4,GS,2006,4,2006-12-12 21:53:32,65,130,75,2,4,0,0,0,0,0,0,0,0,0,0,41,36,0.3333333316239316,10.833333333333334,12.7,positive,200.0,198.08999633789065,-1.910003662109375,.719%,0.296
2007_Q1,COST,2007,1,2006-12-14 21:23:56,116,127,128,12,8,0,0,0,0,0,0,0,0,0,0,99,44,0.0452674895256481,1.8333333333333333,-87.2,neutral,54.11000061035156,53.400001525878906,-0.7099990844726562,.994%,0.12
2006_Q4,ADBE,2006,4,2006-12-15 02:13:04,70,211,90,2,4,0,0,0,0,0,0,1,0,0,0,89,35,0.5017793576449133,23.416666666666668,71.7,positive,42.810001373291016,41.52999877929688,-1.2800025939941406,,0.136
2007_Q1,ACN,2007,1,2006-12-21 01:52:35,31,112,40,7,1,0,0,0,0,0,0,0,0,0,0,36,14,0.5664335624724925,13.5,48.4,positive,36.66999816894531,36.380001068115234,-0.2899971008300781,,
2006_Q4,INTC,2006,4,2007-01-17 04:17:19,102,91,121,5,11,0,0,0,0,0,0,0,0,0,0,74,58,-0.0569948183575398,-1.8333333333333333,-100.1,neutral,21.040000915527344,20.93000030517578,-0.1100006103515625,1.91%,0.166
2006_Q4,ASML,2006,4,2007-01-17 17:42:32,96,95,80,7,12,0,0,0,0,0,0,1,0,0,0,95,31,-0.0052356020668293,-0.25,-72.6,neutral,29.576250076293945,28.48500061035156,-1.0912494659423828,,
2007_Q1,AAPL,2007,1,2007-01-18 03:24:19,67,115,68,5,1,0,0,0,0,0,0,0,0,0,0,56,51,0.2637362622871634,8.0,-5.300000000000002,positive,3.1810710430145264,3.061785936355591,-0.1192851066589355,,0.219
2006_Q4,IBM,2006,4,2007-01-19 03:50:09,57,202,65,7,4,0,0,0,0,0,0,0,0,0,0,29,25,0.559845557683994,24.166666666666668,98.7,positive,91.94072723388672,94.64627075195312,2.7055435180664062,1.21%,0.28
2006_Q4,TXN,2006,4,2007-01-23 03:25:31,168,119,130,4,10,0,0,0,0,0,0,0,0,0,0,70,61,-0.1707317067221891,-8.166666666666666,-141.1,negative,29.600000381469727,31.59000015258789,1.989999771118164,.513%,0.216
2006_Q4,AMD,2006,4,2007-01-24 02:34:45,82,153,95,9,7,0,0,0,0,0,0,0,0,0,0,74,40,0.3021276582888185,11.833333333333334,-3.3000000000000007,positive,16.030000686645508,15.31999969482422,-0.7100009918212891,,0.124
